"Gene","Correlation"
"FKBP8",0.868206363433294
"SPOP",0.86799035674632
"GALK1",0.867769782972078
"ENKD1",0.867406760439816
"MAN1B1",0.867309760367733
"B3GALT6",0.867303996179786
"RRP8",0.867035824047862
"PKIG",0.866996627081771
"WDR83OS",0.866881264997524
"SDHAF2",0.866837255048957
"UPF3A",0.866803598547735
"POLR3GL",0.86661489158443
"IL17RC",0.866564214780076
"ZNF672",0.866542290916325
"VAV2",0.866455036036461
"TMEM101",0.866403927570187
"NR2F6",0.866219834990971
"NDUFA13",0.866168285279124
"RPL10A",0.866157661666358
"SNRPC",0.866035177818586
"COMMD7",0.865892887886642
"DNAJB12",0.865864295151009
"MTFP1",0.865742921415605
"NAPA",0.865690300453215
"TXNRD2",0.865612039875804
"ZBTB45",0.865364619622351
"COPZ2",0.864935205548867
"RNF145",0.864788384830669
"NARF",0.864626911529014
"HSBP1",0.86457175176908
"C1orf122",0.864536952668017
"SPRYD3",0.864332676738316
"R3HDM4",0.864216223342468
"GANAB",0.864142707292343
"RABAC1",0.863969393457904
"MVB12A",0.863963764328635
"MRPS16",0.863469519278226
"DDX41",0.863386173513192
"MAD2L2",0.863114103038039
"GTF2H3",0.863109554316334
"THAP7",0.863086949613476
"ANKRD35",0.863029806194619
"ZMAT5",0.86288814957311
"MRPS5",0.862275171777546
"CCDC9",0.862224697840809
"POLD2",0.862150668724197
"NAT14",0.861982416827453
"MTG1",0.861928883693442
"DPH2",0.861925528530528
"GPR107",0.861811466218105
"ABCF1",0.861753893830382
"ECI1",0.861733528901562
"PXMP2",0.86163041217435
"CHERP",0.861609616207769
"GPATCH3",0.861547833521474
"P3H4",0.861468023955078
"PSMB2",0.861425421900217
"U2AF2",0.861398739754987
"PHF13",0.861368900595679
"PTRH1",0.861302291638938
"PITHD1",0.861233912989288
"SET",0.861122001773805
"AVEN",0.860993691404365
"RANGRF",0.860956233510571
"SUGP1",0.860858302103521
"NDUFB8",0.860767891801197
"FKBP4",0.860651130913893
"WDR13",0.860470257027134
"NDUFS5",0.860459772215523
"PARVB",0.860449428239862
"UQCRC1",0.860438945827048
"NAA38",0.860302933899883
"RPLP2",0.859974509679433
"NPLOC4",0.859495833060243
"SORBS3",0.859454636802811
"BASP1",0.859256220539223
"WDR83",0.858920427487784
"GNAI3",0.858882062855574
"CYBA",0.858735769542555
"INTS1",0.858566873599091
"CHD1L",0.858474596186821
"KRTCAP2",0.858278723232988
"KLHDC4",0.857849709090734
"MACROD1",0.857839345227444
"AIFM2",0.857836826939697
"PC",0.857623634738831
"GSDMD",0.857564563918549
"G6PC3",0.857563849533653
"LTBP3",0.857548926518116
"SLU7",0.857386109413254
"SCO1",0.857369112668632
"ZC3H13",0.857263936338062
"SUPT6H",0.857185521296556
"RPS28",0.857168335715515
"ALKBH7",0.857140317913826
"CNPPD1",0.857032374352902
"YIF1A",0.857003745555759
"RHBDD2",0.856980797756901
"WASF2",0.856923186290986
"MBD2",0.856859174146564
"PSMB4",0.856713115039102
"TFPT",0.856712615765637
"TRAPPC1",0.856686671226437
"CRAT",0.856590955891219
"PHRF1",0.856567089009031
"CPSF4",0.856273237410709
"FAAP20",0.856214176319238
"TXN2",0.856184109536604
"TFIP11",0.855617762116968
"CSNK1G2",0.855109299625763
"NUP93",0.855027830749932
"TMSB10",0.854992930212959
"BRD4",0.854961908036819
"CUL4A",0.854927156868399
"FAM32A",0.854825709837926
"LENG1",0.854544797046383
"MANBAL",0.854508385290874
"PEX10",0.854453345692839
"DCTN5",0.854323288759141
"EIF4EBP1",0.854166872408457
"BAG5",0.853879525632442
"PGAM5",0.853729654812355
"PPIH",0.853682110989052
"IMPA2",0.853594272619784
"MRPL2",0.853352475444341
"TM9SF1",0.853340421359816
"C1orf159",0.853293286120565
"AAR2",0.85323093057694
"USP5",0.852877786661573
"DDB2",0.852420119451413
"TUBB4B",0.852410704362991
"WDR77",0.852401471176193
"ADSL",0.852371555665746
"TMEM9",0.852209191654455
"SCO2",0.852166796233429
"MED8",0.852067641721144
"PRPS1",0.851925814664857
"MUL1",0.851776357259583
"ATP6V0C",0.851735876991756
"BUD31",0.851627006569244
"RNF181",0.851559219718803
"EIF2B4",0.851490324549439
"ASPSCR1",0.851377637371344
"MFAP1",0.851367765947104
"SMG9",0.85126148382376
"TRMT61A",0.851230736203652
"XRCC1",0.85122711403482
"CSNK2B",0.851165155097235
"EBNA1BP2",0.850510950855829
"NCDN",0.850498817790042
