"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MELK",27.59875,42.343125,2.05235795481059,0.0585948691698143,0.35397320731638,-4.30802269809487
"HMGCR",3.3925,12.40625,2.05195423257526,0.0586387456094158,0.353981677498091,-4.30867348063035
"REXO5",1.505,3.44125,2.05180925480815,0.0586545091124255,0.353981677498091,-4.30890716195495
"TFAP2C",12.05375,6.368125,2.05180559918064,0.0586549066408134,0.353981677498091,-4.30891305413811
"AASDH",2.85,3.845,2.05109986731572,0.058731697211496,0.354075846612677,-4.31005045726986
"THEM6",-3.465,9.42625,-2.05086554109076,0.058757214593449,0.354075846612677,-4.31042806691467
"GYS1",-27.2825,44.97625,-2.05069206347924,0.0587761123042676,0.354075846612677,-4.31070760618509
"C1GALT1C1L",-0.4575,1.13875,-2.05062246785018,0.0587836952414649,0.354075846612677,-4.31081974804944
"SLCO1B3",4.14125,2.140625,2.05062060699896,0.0587838980067127,0.354075846612677,-4.31082274647633
"CTSV",0.85,0.67625,2.05057476668257,0.0587888931400647,0.354075846612677,-4.31089660944401
"TGFBR3",-1.23875,2.886875,-2.05022791063831,0.0588267020109605,0.354075846612677,-4.31145547385983
"DBH",-0.855,1.01875,-2.05014838190451,0.0588353741430949,0.354075846612677,-4.31158360580395
"APTX",2.03625,16.885625,2.05004670249325,0.0588464633816001,0.354075846612677,-4.31174742177305
"WFDC5",0.83,0.4275,2.04984461812257,0.0588685085561873,0.354090853025941,-4.31207298770005
"HOXB7",5.09,3.61125,2.0496186180644,0.0588931716388207,0.35412159082028,-4.31243706266734
"SNRNP48",2.1575,4.64875,2.04894120959092,0.0589671530881268,0.35444875857254,-4.31352820731034
"NUDT21",12.21125,38.169375,2.0480622168156,0.0590632770790115,0.354908762832773,-4.31494377233909
"TNFSF4",2.85375,2.638125,2.04778940703953,0.0590931399314755,0.354970433598326,-4.31538305077458
"PSG2",-0.18625,0.138125,-2.04752637500342,0.0591219455799623,0.355025714986306,-4.31580655578101
"PELI2",2.08875,1.871875,2.04663617709226,0.0592195301031492,0.355299940236231,-4.31723964014658
"USP35",2.17375,4.243125,2.04662942822599,0.0592202704852754,0.355299940236231,-4.31725050354361
"VARS2",5.2575,9.24375,2.04657295986734,0.0592264656602718,0.355299940236231,-4.31734139780051
"PTHLH",62.94125,34.608125,2.04624098000234,0.0592628993701759,0.355400784931541,-4.31787574212804
"TNFAIP1",4.1025,19.62,2.0456808304293,0.0593244205418821,0.355651963069853,-4.31877723716011
"TNFRSF13C",0.52125,0.415625,2.04545809985168,0.0593488992805521,0.355680977786261,-4.31913565957387
"EPHA6",0.32,0.3575,2.04505856433442,0.0593928325952852,0.355826527004039,-4.31977854815415
"RDH14",1.49625,10.331875,2.04410152737746,0.0594981905468469,0.356249436348863,-4.32131823600743
"TANC1",6.5125,11.58375,2.04406002575539,0.0595027632353438,0.356249436348863,-4.32138499546797
"SDK1",1.15875,0.756875,2.04380397134427,0.0595309826794865,0.356300603869193,-4.3217968683951
"AASDHPPT",5.72375,14.441875,2.04323003302108,0.0595942802795188,0.35638071553457,-4.32271996984829
"DHX32",-4.345,14.66875,-2.04319977230688,0.0595976193360896,0.35638071553457,-4.32276863625959
"TAF6L",4.6075,8.0825,2.04303062194651,0.0596162870438976,0.35638071553457,-4.32304066314606
"BCL2L15",0.1575,0.36375,2.04295437382743,0.0596247036616297,0.35638071553457,-4.32316328113763
"SLCO1B7",0.91875,0.463125,2.04272376351188,0.0596501661145349,0.35638071553457,-4.32353412106249
"PAX9",0.8475,0.4375,2.0426126933071,0.0596624333002494,0.35638071553457,-4.32371272295246
"TUBB2A",102.8025,133.2325,2.04151181899955,0.0597841447788115,0.356568594428238,-4.32548265992939
"UBC",-129.865,909.7025,-2.04118493712035,0.0598203282622935,0.356568594428238,-4.32600810856337
"HRCT1",80.905,44.20625,2.04113048142717,0.0598263580667283,0.356568594428238,-4.32609563941631
"RHEBL1",0.67,1.56375,2.04088543932706,0.0598534981338152,0.356568594428238,-4.3264894992066
"PGA5",0.8175,0.48,2.0408750865662,0.0598546450202638,0.356568594428238,-4.32650613879897
"GUSB",10.31875,30.195625,2.04079626980118,0.0598633770594108,0.356568594428238,-4.32663281646816
"FGFRL1",80.10375,63.906875,2.04053587570466,0.0598922341862357,0.356568594428238,-4.32705131449015
"CCDC114",-0.28,0.45875,-2.04041222209923,0.0599059420607093,0.356568594428238,-4.32725003712518
"ADAMTS3",0.44375,0.464375,2.04039968504714,0.0599073320418248,0.356568594428238,-4.32727018495525
"CDC123",7.50125000000001,49.318125,2.04024331635174,0.0599246710982916,0.356568594428238,-4.3275214737398
"FOXK1",1.24125,5.120625,2.04006060905015,0.0599449365537137,0.356568594428238,-4.32781507641615
"CLP1",1.2575,6.35625,2.04005476181054,0.0599455852191533,0.356568594428238,-4.32782447244469
"SPC25",10.075,22.70125,2.03981952073584,0.0599716870977928,0.356568594428238,-4.32820247344122
"PCDHGB2",5.2925,4.59125,2.03977712566635,0.0599763922767891,0.356568594428238,-4.32827059419188
"ERRFI1",-122.61375,171.290625,-2.03966168694667,0.0599892058540578,0.356568594428238,-4.32845607827134
"C5orf24",5.72,20.935,2.03948379994366,0.0600089560344858,0.356568964153731,-4.32874189177696
"FOXA1",2.50625,1.313125,2.0392594011848,0.0600338787496205,0.356600058391072,-4.32910241744937
"ISG15",166.8175,152.52875,2.03893730351089,0.0600696689069634,0.35669566346689,-4.32961987219458
"CNRIP1",7.48125,32.534375,2.03853866882195,0.0601139905978363,0.356829031118496,-4.33026022457479
"SRGAP2C",18.9775,18.2875,2.03838096029398,0.0601315334864805,0.356829031118496,-4.33051354346584
"HOXB8",0.45,0.24875,2.03794571525993,0.0601799727928769,0.356913095115823,-4.3312126004782
"NCAPH",7.18624999999999,14.310625,2.03761508477708,0.0602167932120752,0.356913095115823,-4.33174358053799
"PATJ",1.345,1.275,2.03761340632384,0.0602169801843958,0.356913095115823,-4.3317462759534
