gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
GTSF1L,0.19,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.07,0.07,0.13,0.0,0.2,0.07
ST3GAL3,12.29,15.55,9.77,9.94,9.84,10.24,11.83,11.57,11.12,4.52,9.66,9.41,10.33,8.47,9.1,9.04
C2CD5,11.8,12.46,8.46,7.36,8.08,7.65,8.14,7.37,11.57,11.62,6.62,5.65,6.04,8.66,8.51,8.82
ARF5,85.51,157.78,136.84,142.65,129.57,92.6,97.58,95.29,88.11,64.36,144.46,173.26,154.94,119.73,129.21,123.65
PKHD1L1,0.02,0.0,0.04,0.04,0.03,0.14,0.1,0.14,0.0,0.01,0.06,0.05,0.03,0.04,0.08,0.05
PAQR5,0.58,1.09,15.31,16.53,19.56,0.23,0.07,0.21,1.7,0.37,28.95,20.93,30.21,21.69,23.03,21.58
GOT2,52.55,56.88,60.92,56.09,55.52,102.23,103.99,101.65,49.17,39.08,65.46,68.83,63.92,71.84,73.18,69.25
SLC30A3,3.37,4.56,0.11,0.03,0.08,0.39,0.75,0.53,1.38,0.04,0.11,0.16,0.13,0.08,0.0,0.02
PSENEN,29.46,32.92,50.13,46.48,45.49,33.18,32.51,31.29,27.45,33.35,56.16,73.43,57.69,46.72,45.96,48.66
B3GALNT1,16.31,13.7,0.98,1.36,1.27,3.97,3.71,3.76,9.79,6.15,1.04,0.65,1.01,1.4,1.36,1.34
INPP4A,9.44,12.6,4.03,4.26,4.3,6.71,7.16,7.01,6.96,6.56,4.24,3.07,3.8,4.45,4.21,4.24
ZNF830,9.88,9.7,8.15,6.62,6.57,6.59,7.6,6.23,11.88,11.07,5.68,5.9,5.49,7.47,6.94,7.28
SIRPG,1.83,0.26,0.06,0.0,0.0,0.0,0.0,0.0,1.06,1.17,0.0,0.0,0.0,0.05,0.0,0.0
TMEM246,14.02,3.34,20.66,20.82,20.22,0.14,0.12,0.13,11.41,8.99,18.33,17.06,18.61,21.44,20.85,20.52
